Kp, Ki, Kd, Kg, integral, omega_ref, Comment

80, 1.7, 80, 0.7, 0.3,    5,         +-100mm

80, 1.7, 50, 0.7, 0.3,    5,         +-80mm

90, 1.7, 50, 0.7, 0.3,    5,         X

80, 1.7, 50, 0.71, 0.3,   5,         +-70mm

80, 1.7, 50, 0.72, 0.3,   5,         +-100mm big swing

80, 1.7, 50, 0.69, 0.3,   5,         +-200mm

80, 2.0, 50, 0.71, 0.3,   5,         +-100mm

80, 1.7, 50, 0.71, 0.2,   5,         +-100mm

80, 1.7, 50, 0.71, 0.4,   5,         +-70mm

80, 1.72, 50, 0.71, 0.4,  5,         +-70mm exploding

80, 1.75, 50, 0.71, 0.36, 5,         +-70mm unstable

60, 10, 50, 0.71, 0.36,    5,         X big swings

60, 5, 50, 0.71, 0.36,     5,         X big swings

60, 2, 50, 0.71, 0.36,     5,         +-100mm

60, 0, 50, 0.71, 0.36,     5,         +-90mm

50, 0, 50, 0.71, 0.36,     5,         +-90mm

50, 0, 20, 0.8, 0.36,      5,         +-70mm

40, 0, 20, 0.8, 0.36,      5,         +-100mm

40, 0, 20, 1, 0.36,        5,         +-60mm ***

50, 0, 20, 1, 0.36,        5,         +-80mm

30, 0, 20, 1, 0.36,        5,         +-80mm

30, 0, 30, 1, 0.36,        5,         +-70mm

30, 0, 50, 1, 0.36,        5,         +-60mm unstable cause of Kp

30, 0, 0, 1, 0.36,         5,         X big swings

20, 0, 0, 1, 0.36,         5,         X big swings

20, 0, 20, 1, 0.36,        5,         X big swings

40, 0.7, 20, 1, 0.36,      5,         +-65mm

40, 5, 20, 1, 0.1,         5,         +-70mm somewhat stable

40, 8, 20, 1, 0.1,         5,         X big swings

40, 8, 40, 1, 0.1,         5,         X big swings

40, 6, 20, 1, 0.1,         5,         +-80mm

40, 4, 20, 1, 0.1,         5,         +-90mm big swings

40, 5, 20, 1, 0.06,        5,         +-80mm

35, 0, 20, 1, 0.36,        5,         +-80mm

40, 0, 10, 1, 0.36,        5,         +-100mm

40, 0, 20, 0.9, 0.36,      5,         +-55mm***

